90201,"Bell","CA",33.97,-118.17,-8,1
90202,"Bell Gardens","CA",33.79,-118.3,-8,1
90204,"Inglewood","CA",33.94,-118.36,-8,1
90209,"Beverly Hills","CA",33.79,-118.3,-8,1
90210,"Beverly Hills","CA",34.09,-118.41,-8,1
90211,"Beverly Hills","CA",34.07,-118.38,-8,1
90212,"Beverly Hills","CA",34.06,-118.4,-8,1
90213,"Beverly Hills","CA",33.79,-118.3,-8,1
90220,"Compton","CA",33.89,-118.24,-8,1
90221,"Compton","CA",33.89,-118.2,-8,1
90222,"Compton","CA",33.91,-118.24,-8,1
90223,"Compton","CA",33.79,-118.3,-8,1
90224,"Compton","CA",33.79,-118.3,-8,1
90230,"Culver City","CA",34,-118.4,-8,1
90231,"Culver City","CA",33.79,-118.3,-8,1
90232,"Culver City","CA",34.02,-118.39,-8,1
90233,"Culver City","CA",33.79,-118.3,-8,1
90239,"Downey","CA",33.79,-118.3,-8,1
90240,"Downey","CA",33.96,-118.12,-8,1
90241,"Downey","CA",33.94,-118.13,-8,1
90242,"Downey","CA",33.92,-118.14,-8,1
90245,"El Segundo","CA",33.92,-118.41,-8,1
90247,"Gardena","CA",33.89,-118.3,-8,1
90248,"Gardena","CA",33.87,-118.29,-8,1
90249,"Gardena","CA",33.9,-118.32,-8,1
90250,"Hawthorne","CA",33.91,-118.35,-8,1
90251,"Hawthorne","CA",33.79,-118.3,-8,1
90254,"Hermosa Beach","CA",33.87,-118.4,-8,1
90255,"Huntington Park","CA",33.98,-118.22,-8,1
90260,"Lawndale","CA",33.89,-118.35,-8,1
90261,"Lawndale","CA",33.9,-118.38,-8,1
90262,"Lynwood","CA",33.92,-118.2,-8,1
90263,"Malibu","CA",34.04,-118.71,-8,1
90264,"Malibu","CA",33.79,-118.3,-8,1
90265,"Malibu","CA",34.05,-118.81,-8,1
90266,"Manhattan Beach","CA",33.89,-118.41,-8,1
90267,"Manhattan Beach","CA",33.79,-118.3,-8,1
90270,"Maywood","CA",33.99,-118.19,-8,1
90272,"Pacific Palisades","CA",34.05,-118.53,-8,1
90274,"Palos Verdes Peninsula","CA",33.78,-118.39,-8,1
90275,"Rancho Palos Verdes","CA",33.76,-118.36,-8,1
90276,"Redondo Beach","CA",33.85,-118.4,-8,1
90277,"Redondo Beach","CA",33.83,-118.38,-8,1
90278,"Redondo Beach","CA",33.87,-118.37,-8,1
90280,"South Gate","CA",33.94,-118.19,-8,1
90290,"Topanga","CA",34.1,-118.6,-8,1
90291,"Venice","CA",33.99,-118.47,-8,1
90292,"Marina Del Rey","CA",33.98,-118.45,-8,1
90293,"Playa Del Rey","CA",33.96,-118.44,-8,1
90294,"Venice","CA",33.79,-118.3,-8,1
90295,"Marina Del Rey","CA",33.79,-118.3,-8,1
90296,"Playa Del Rey","CA",33.79,-118.3,-8,1
90301,"Inglewood","CA",33.96,-118.36,-8,1
90302,"Inglewood","CA",33.98,-118.36,-8,1
90303,"Inglewood","CA",33.93,-118.33,-8,1
90304,"Inglewood","CA",33.94,-118.36,-8,1
